,drugs,match_substructures?
116,N=C(N)NCC1COC2(CCCCC2)O1,False
117,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,False
118,FC(F)OC(F)(F)C(F)Cl,False
119,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](N=C(O)Cc3csc(=N)[nH]3)[C@H]2SC1,False
120,CC(C)C[C@H](CN)CC(=O)O,False
121,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,False
122,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,False
123,Nc1ccc(C(=O)O)c(O)c1,False
124,CCOc1ccccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1,False
125,Cc1nc(O)c(C#N)cc1-c1ccncc1,False
126,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,False
127,CCC(C)C1(CC)C(O)=NC(=O)N=C1O,False
128,Cc1ccnc2c1N=C(O)c1cccnc1N2C1CC1,False
129,Clc1ccc(CO/N=C(/Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,False
130,C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,False
131,C=CCC1(CC(C)C)C(O)=NC(=O)N=C1O,False
132,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,False
133,COc1ccccc1OCC(O)CN1CCN(CC(O)=Nc2c(C)cccc2C)CC1,False
134,Nc1ccc(O)c(C(=O)O)c1,False
135,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,False
136,OC1=Nc2cc(Cl)c(CCN3CCN(c4nsc5ccccc45)CC3)cc2C1,False
137,CCC(CO)N=C(O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,False
138,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(O)=NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,False
139,O=c1nc(O)c(I)cn1[C@H]1C[C@H](O)[C@@H](CO)O1,False
140,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,False
141,CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,False
142,OC1=NC(c2ccccc2)(c2ccccc2)C(O)=N1,False
143,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,False
144,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(=N)O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,False
145,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,False
146,CN(C)[C@@H]1C(O)=C(C(O)=NCNCCCC[C@H](N)C(=O)O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,False
147,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,False
